114,Down:Down:Down:Mid:,Mid:Up:Mid:Up:,Mid:Mid:Down:Mid:,Down:Mid:Mid:Mid:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Mid:Mid:Up:Mid:,
115,Down:Down:Down:Mid:,Up:Up:Mid:Up:,Mid:Mid:Down:Mid:,Down:Mid:Mid:Mid:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Mid:Mid:Up:Mid:,
121,Down:Down:Down:Mid:,Up:Up:Mid:Up:,Mid:Mid:Up:Mid:,Down:Mid:Mid:Mid:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Mid:Mid:Up:Mid:,
122,Down:Down:Down:Mid:,Up:Up:Mid:Up:,Mid:Mid:Up:Mid:,Down:Mid:Mid:Mid:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Mid:Up:Mid:,
123,Down:Down:Down:Down:,Up:Up:Mid:Up:,Mid:Mid:Up:Mid:,Down:Mid:Mid:Mid:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Mid:Up:Mid:,
127,Down:Down:Down:Down:,Up:Up:Mid:Up:,Mid:Mid:Up:Mid:,Down:Mid:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Mid:Up:Mid:,
130,Down:Down:Down:Down:,Up:Up:Mid:Up:,Mid:Mid:Up:Mid:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Mid:Up:Mid:,
135,Down:Down:Down:Down:,Up:Up:Mid:Up:,Mid:Mid:Up:Mid:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Mid:Up:Mid:,
144,Down:Down:Down:Down:,Up:Up:Mid:Up:,Mid:Mid:Up:Up:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Mid:Up:Mid:,
148,Down:Down:Down:Down:,Up:Up:Mid:Up:,Mid:Mid:Up:Up:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Mid:Up:Mid:,
156,Down:Down:Down:Down:,Up:Up:Down:Up:,Mid:Mid:Up:Up:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Mid:Up:Mid:,
178,Down:Down:Down:Down:,Up:Up:Down:Up:,Mid:Mid:Up:Up:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Up:Up:Mid:,
183,Down:Down:Down:Down:,Up:Up:Down:Up:,Mid:Mid:Up:Up:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Up:Up:Mid:,
185,Down:Down:Down:Down:,Up:Up:Down:Up:,Mid:Mid:Up:Up:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Up:Up:Mid:,
190,Down:Down:Down:Down:,Up:Up:Down:Up:,Mid:Mid:Up:Up:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Up:Up:Mid:,
208,Down:Down:Down:Down:,Up:Up:Up:Up:,Mid:Mid:Up:Up:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Up:Up:Mid:,
211,Down:Down:Down:Down:,Up:Up:Up:Up:,Mid:Mid:Up:Up:,Down:Down:Mid:Down:,Up:Mid:Down:Up:,Mid:Mid:Mid:Mid:,Mid:Mid:Mid:Mid:,Up:Down:Down:Mid:,Up:Up:Up:Mid:,
