,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
95,1088.2776880020358,446.92893274287167,291.55015379156055,339.9999792946464,122.38619255025228,751.104387774585,744.4551396314471,397.78502062904926,696.8553844247333,1200.0,430.7631615538918,0.0,
103,1088.990177405093,445.24107268911337,291.9998957545653,345.4328675933432,114.63170782214027,759.9376343793168,743.6751680204952,402.9149087503251,694.2936259117538,1200.0,421.7201109192264,0.0,
105,1084.795048448581,454.8960002731318,288.21063444341326,339.18449154505186,120.58184379255691,750.6622933254234,745.4673521252729,400.86229392682105,696.9999447423949,1200.0,422.4122060634282,0.0,
107,1087.9661613944313,450.3531098934597,290.5960818280726,341.266545895613,116.54009404497936,755.3906384614934,745.5410128349616,407.9999325727063,694.6492806324364,1200.0,406.36705237398246,0.0,
111,1088.57712456791,445.7487388541645,291.91789468757815,331.6252462849053,154.6134084703495,717.9997840008438,744.5263254076856,403.9747967424483,696.5467533246098,1200.0,419.65054872217473,0.0,
112,1091.2919056218452,444.76091169043167,290.181763281803,314.9999443411251,170.9975256354132,706.7069514922919,834.9612693341842,297.61404276122175,725.5951650388027,1200.0,464.6233150886551,0.0,
124,1092.62276382231,442.6540208592872,291.64719729612045,311.9435159165561,176.69261096971442,700.7525667506236,834.9447903971418,296.7850558258802,726.381625553459,1200.0,466.3774950475687,0.0,
125,1099.3414618948443,442.7270137565521,287.42907844093855,339.00010746957525,183.9606736742354,692.3041091162498,832.98181387663,295.9813629815556,724.74502663846,1200.0,469.1568516912667,0.0,
128,1108.069226173983,422.9999802905223,295.6778105876536,391.82306734543073,177.54254429479727,693.6676462129868,827.5632262095631,292.50715857709474,722.9245570225295,1200.0,478.0735010645543,0.0,
129,1112.9491009266576,427.513644801835,293.55631526139524,302.31208394993496,193.8005575583085,691.905355599863,838.9825468522303,295.6622659994942,722.6019274798163,1200.0,477.9998924164699,0.0,
132,1109.321091114995,432.90960946082123,310.80166904809965,292.6397422094777,199.75017945747362,684.4741928847143,839.2171023409808,292.9968765711457,724.2069162087465,1200.0,486.99983526036954,0.0,
135,1112.0693228293078,420.8398820563665,346.6451988277647,286.8763624781373,238.17981562398705,562.2534729559534,837.6655538980323,294.9085342380959,750.4442742660142,1200.0,483.06422527704547,0.0,
138,1126.4875781027831,384.658368351999,352.99998548909133,297.7882029417939,225.8041854849539,579.5921568455087,836.1547591288181,295.27469124765105,748.608759342238,1200.0,484.38187024916346,0.0,
149,1127.5698838233127,383.6691672685832,353.99990310343327,298.530251083641,223.6389313235213,581.4461541627444,837.7631284931684,297.7564518733238,748.4874381073771,1200.0,475.2713044341868,0.0,
153,1130.6885196008002,380.9256462235941,351.7032171566531,294.972385729494,216.65789426915464,574.9998769799629,834.612740014319,245.89969825205895,958.5763197448738,1200.0,500.9105944229456,0.0,
160,1126.0000056450695,389.8201214968005,347.8892191278517,292.93373873783037,217.98395613153647,570.8502745085596,836.3947356189161,244.34703689143407,962.388099617541,1200.0,498.11621461760103,0.0,
162,986.704974126354,469.16909513653866,323.8357492210058,332.5778372885601,185.59219704910842,582.3104183013224,836.812434617282,249.99993610569362,967.4372543055138,1200.0,494.0285356761319,0.0,
166,977.5814226379706,474.85027142094964,329.6300740660419,316.7718060209692,201.9999268927961,620.6499737390445,833.229575373543,248.4162570101176,963.4985546541477,1200.0,502.12692031324565,0.0,
175,1009.0000098921412,463.4271713716411,333.78772099729815,233.50946435350733,202.51945718289613,629.5700814009169,847.3624289246492,249.43733179374286,963.1151504298327,1200.0,503.638636175514,0.0,
