,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
107,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Mid:Up:Up:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Mid:Up:Mid:,
111,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Mid:Up:Up:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Up:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Mid:Up:Mid:,
112,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Mid:Up:Up:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Mid:Up:Mid:,
124,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Mid:Up:Up:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Mid:,
125,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Mid:Up:Up:Up:,Mid:Mid:Up:Mid:,Down:Mid:Down:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Mid:,
128,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Mid:Up:Up:Up:,Up:Mid:Up:Mid:,Down:Mid:Down:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Mid:,
129,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Mid:Up:Up:Up:,Down:Mid:Up:Mid:,Down:Mid:Down:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Mid:,
132,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Down:Up:Up:Up:,Down:Mid:Up:Mid:,Down:Mid:Down:Down:,Mid:Mid:Mid:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Mid:,
135,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Down:Up:Up:Up:,Down:Mid:Up:Mid:,Down:Mid:Down:Down:,Mid:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Mid:,
138,Down:Mid:Mid:Down:,Mid:Mid:Up:Down:,Up:Up:Up:Up:,Down:Mid:Up:Mid:,Down:Mid:Down:Down:,Mid:Mid:Up:Mid:,Down:Mid:Down:Mid:,Mid:Down:Down:Up:,Up:Down:Up:Down:,Down:Down:Down:Down:,Up:Mid:Up:Up:,Down:Up:Up:Mid:,
