,light1,light2,light3,light4,light5,light6,light7,light8,light9,light10,light11,light12,
110,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Up:Up:,Down:Up:Down:Down:,Up:Down:Mid:Up:,Mid:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Up:Down:Up:,
128,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Up:Up:,Down:Up:Down:Down:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Up:Down:Up:,
132,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Up:Up:,Down:Up:Down:Down:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Up:Up:Up:,
135,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Up:Up:,Down:Up:Down:Down:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Mid:Up:Up:Up:,
139,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Mid:,Down:Mid:Up:Mid:,Up:Mid:Up:Up:,Down:Up:Down:Down:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Up:Up:Up:Up:,
161,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Up:Mid:Up:Up:,Down:Up:Down:Down:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Mid:,Up:Up:Up:Up:,
171,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Up:Mid:Up:Up:,Down:Up:Down:Down:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Down:,Up:Up:Up:Up:,
193,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Up:Up:,Down:Up:Down:Down:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Down:,Up:Up:Up:Up:,
262,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Up:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Down:,Up:Up:Up:Up:,
324,Down:Up:Up:Down:,Down:Down:Mid:Mid:,Up:Mid:Mid:Up:,Mid:Mid:Mid:Up:,Down:Mid:Up:Mid:,Up:Up:Down:Up:,Down:Up:Down:Up:,Up:Down:Mid:Up:,Up:Up:Mid:Mid:,Down:Mid:Mid:Up:,Down:Mid:Mid:Down:,Up:Up:Up:Up:,
