,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
228,500.3442159923877,701.0742675219295,699.6838766069332,499.45851105663974,697.2090843790484,501.45789486360064,506.5605772177471,494.7834584639925,511.3608617131466,491.34371571786687,511.838544095291,686.1438162725447,
240,500.40753059573683,701.0031026479803,699.5722297852428,499.59978894613255,696.8300755205661,502.1314249310327,506.08429527126737,495.10620891816046,511.51654756744756,492.0831076925068,510.9489232283223,686.0685809257538,
241,500.4075310987576,701.0031030529743,699.5722299698687,499.59978812384406,696.8300754182451,502.1314249048396,506.08429865910904,495.1062107165333,511.5165483802832,492.08310528003244,510.9489194412273,686.0685809212628,
247,500.3955014454557,700.9882033597056,699.5689391455538,499.6368482904664,696.8455881261405,502.1335008844944,505.8923619281013,495.0439085536556,511.4848414412884,492.26233068141687,511.1039626372939,686.0746233499177,
250,500.3954983219554,700.9882022384272,699.5689413068661,499.6368658603423,696.8455953114279,502.1335048666286,505.8923190950997,495.0438900606106,511.4848355220761,492.26237148642275,511.10402015880743,686.0746284089722,
253,500.3954974943167,700.9882016763526,699.5689412489488,499.636868037809,696.8455958677959,502.13350512410835,505.8923122600668,495.0438867946938,511.4848341716306,492.26237695161774,511.1040281845312,686.0746287234,
254,500.3954974370844,700.9882016265046,699.5689412212508,499.6368680966401,696.8455958564559,502.1335051124272,505.8923119560296,495.0438866311173,511.48483408809614,492.26237713424223,511.1040284747131,686.0746287089286,
262,500.3163920888028,700.8735380773287,699.5451365181491,499.9189356227477,696.9328903892211,502.1802973328948,504.43877253164294,494.72546768054247,511.2804079998299,493.67438692742434,511.9145827159505,686.1361519869828,
263,500.31639321389343,700.8735397851526,699.5451400921362,499.91894687208526,696.9328970278779,502.18030135503693,504.43875142334554,494.7254641707746,511.2804079039963,493.6744139198673,511.91461032954203,686.1361570157054,
284,500.13887411615036,700.921553033384,699.8947079239205,500.14365628347355,697.6105481579326,500.5979299237412,503.7959026784271,495.23066461412776,511.81461026911245,494.5485579011583,510.6989176627794,685.8427780236683,
285,500.13886228798805,700.9215404895763,699.89470569855,500.1436828311688,697.6105514141852,500.59792972193964,503.79579942109933,495.23062800324163,511.8145899226274,494.54863872060446,510.69900464445914,685.8427791021417,
324,500.1388622939364,700.9215404963197,699.8947057048395,500.1436828379237,697.6105514225034,500.5979297273626,503.79579942891417,495.23062801182954,511.8145899301627,494.548638729453,510.69900465156024,685.8427791089359,
344,500.13886228520596,700.9215404864327,699.8947056957295,500.1436828284796,697.6105514105276,500.59792971952754,503.795799416409,495.23062799899196,511.8145899190372,494.5486387176211,510.69900464232546,685.8427790991332,
380,500.1288639169047,700.9125238559744,699.8896740870106,500.148624373831,697.64005373214,500.59538749330704,503.7795938830366,495.1434864497591,511.66005252272157,494.53079439641186,510.91170106126106,685.9740477297,
381,500.12878463883993,700.9124387064727,699.8897101802619,500.1490133755091,697.6401963513205,500.59544452400803,503.77840474644734,495.14309645929205,511.65982763659883,494.53188256315246,510.91292078906315,685.9741762805883,
382,500.1287842846684,700.912438308176,699.889709870718,500.14901323327126,697.6401959925848,500.5954442710754,503.7784036973259,495.14309580196226,511.65982712362245,494.53188269250774,510.9129210750715,685.9741759926249,
389,500.12878432813153,700.9124383571321,699.8897099102965,500.149013257081,697.6401960399745,500.5954443038324,503.7784038116953,495.14309587897696,511.65982718492273,494.5318826926102,510.9129210574023,685.9741760308807,
392,499.99170760308436,701.0134561187938,700.2359305706359,499.98307055675383,698.5670781199589,498.822833024577,503.46916584007255,495.3310711262338,512.158100784094,494.97037001674414,510.4258789033422,685.6306514340317,
397,499.9716046927697,701.026799482466,700.2373147443624,499.9970937550008,698.5609800519029,498.81441084539784,503.4329147705255,495.3543011866028,512.2143359917184,495.01866261915103,510.36919891022035,685.5795840476247,
398,499.9715295387432,701.0266739311576,700.2372908227741,499.9972906709967,698.5609815283971,498.81444614984963,503.43216314643604,495.3540161766502,512.2141530008068,495.0192465997218,510.3698728253037,685.5796126305601,
405,499.9890083614987,701.0162445651059,700.1879186606556,500.031113152359,698.4149297208521,499.07413057764455,503.42665579105545,495.35996177589357,512.2087204864755,495.0222578692746,510.3608403981325,685.569554305703,
409,499.98902302866503,701.0162782852303,700.187913247908,500.0310182735979,698.4149120543678,499.074094721902,503.42693830559887,495.3600567751172,512.2087770253837,495.02200907055123,510.36055903758336,685.5695288356178,
412,499.98902313588263,701.0162783880427,700.1879133796552,500.03101849443505,698.4149122359884,499.07409490734426,503.4269381546793,495.360056829082,512.2087771025019,495.0220094556457,510.36055943229724,685.5695289757188,
426,499.98902301410527,701.016278257452,700.1879132465526,500.03101833185895,698.4149120596934,499.07409473991993,503.4269381122888,495.36005670601054,512.2087769824894,495.0220092309065,510.360559220523,685.5695288480891,
434,501.1161586402271,695.766011057956,701.244396658801,500.6030059376356,699.3483549477206,499.94224747749894,503.5531722231356,495.4119875332481,510.5704310486044,494.8128460807811,510.42098190100216,687.2465551861999,
435,501.11612613241783,695.7660366163358,701.2443860828541,500.60310381111,699.3483776691864,499.9422815239733,503.55286325291456,495.411888720664,510.57037370343335,494.8131327702517,510.42130023865866,687.2465916115032,
450,501.11612625052265,695.7660367315586,701.2443862035004,500.6031039472475,699.3483778530456,499.94228168890794,503.5528634520323,495.41188893464505,510.57037389498873,494.81313296247873,510.4213003930487,687.2465917768905,
505,501.116126267299,695.7660367476778,701.244386220539,500.6031039660016,699.3483778788453,499.94228171199256,503.55286348141146,495.4118889652117,510.57037392221787,494.8131329883189,510.42130041342284,687.2465918000291,
519,500.5119637111356,698.400367861983,700.6734688340662,500.29661605863083,699.0648483956609,499.5046055013635,503.37600697699236,495.53718390364315,510.9711945399657,495.0827193799235,510.0367574227405,686.9015754816686,
520,500.5118433838192,698.4003889105085,700.6733970193393,500.2967826076508,699.0648149938079,499.50461132783295,503.37527691378415,495.5368913401267,510.97099914802834,495.08324752941485,510.0373648700862,686.9015855961972,
521,500.5118435533499,698.4003890972213,700.6733972055355,500.296782835778,699.0648152830013,499.5046115944157,503.3752771519897,495.5368916531145,510.9709994372496,495.0832478984215,510.03736518709354,686.901585865424,
531,500.3994815229081,698.938973600459,700.533351793326,500.19769298833324,698.9948183334304,499.49889810283815,503.36352319244946,495.5556369384025,510.96343869833333,495.10974057708313,509.9773926077679,686.9185594269215,
542,500.3994812950109,698.9389733983023,700.5333515723323,500.19769277207956,698.9948179964327,499.49889783196664,503.36352270836755,495.55563649260677,510.9634383099399,495.1097402913111,509.9773924068155,686.9185591153935,
