,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,
44,382.64196497059925,642.2001377952065,344.08416674099686,491.10774779188444,473.390928042947,327.5909477869738,505.03713820180656,506.67826301555124,465.5204440857055,491.81372415360045,486.526058635323,351.59629764221404,
45,486.7880334045509,373.5432811553481,637.8861583627521,497.20693425233173,470.9599813641373,366.56687233187836,692.6934757996063,690.4236655168645,705.7845552559754,509.4047698931448,512.8181685851655,688.0594804341777,
45,476.9098413894659,353.84113149951327,628.5723501874791,349.2769552732309,472.65432770541025,359.5508635965813,692.9535318063171,700.6971579708405,538.8181491596098,516.6728923105796,469.48066219913375,476.049375753602,
46,478.7517360158599,394.49567731397696,480.8518013737225,694.9466919339942,687.6073946623388,486.2651790259816,693.3106885913489,650.3375962643886,537.4941953596328,489.3637330053833,413.93647090003833,442.68234463096496,
46,474.08221593297264,413.2768210225556,491.2072060387013,694.1146381795687,697.9502569499675,630.8536033960293,687.9102804981214,632.7640695390537,626.8090085260623,491.4166632700587,452.20392369183395,545.239564849232,
47,487.19872086994224,694.2935809663115,706.273541848172,369.49256574735654,667.9007301800254,699.7646058343569,474.77423990223417,328.8313082693259,305.6901638763245,321.6980286220885,295.0838033729891,286.7409409630018,
47,699.6017263950764,703.1968910396396,701.4354606467849,497.95658709774847,698.0192601665772,689.876354010694,478.7868906621157,334.29014684769896,307.7723601951047,320.2027944349502,295.46027920957323,287.34495773914966,
48,670.3672526001943,471.7647872383164,301.1697385038836,353.62992748142636,369.7280364443164,494.43592555435004,555.6719885465284,427.00275990386706,612.9716892000938,619.168451646165,406.1459002870878,418.4096540505148,
48,683.9824564884713,488.9047931465913,316.66238368372643,387.79077790405177,428.61681967766424,505.3100058262201,541.9734611101939,386.3719274857173,595.9045099707605,599.5068922004799,376.988164221097,397.3796307430502,
49,681.7949079141987,686.5477240136252,671.5253603786393,652.7098042195308,488.0579121278638,663.0066980374388,407.713813446654,409.1851704307719,349.2491522471681,578.6911508132142,463.296834690397,420.087226211636,
49,681.7948598103019,686.5476386366787,671.5253036582562,652.7097399285051,488.0578620899647,663.0066372691484,407.7137599796008,409.1850884586166,349.2490915496413,578.6911033589263,463.2967781622065,420.0871596008242,
50,485.53304759324743,488.7631328767131,492.5117967185034,481.87999475224194,412.51831399749875,661.0525097668321,464.8953643749742,655.1103011300385,416.4418957314349,353.27279301543956,514.2141586998047,441.9592965040762,
50,482.4929049098565,487.7410832357213,484.8331958585229,489.1614284201415,410.5245067876382,680.8367172346,463.254123255708,614.0952740450216,337.8315374723388,336.7048636975096,419.2158954436498,255.7963464716116,
